Open,High,Low,Close,Volume
1047.29,1047.99,1032.68,1036.61,1494.40796399
1036.21,1041.29,1028.0,1031.24,516.83509735
1031.16,1041.99,1031.16,1039.68,1045.41523849
1039.27,1039.28,1015.79,1021.55,2194.87983548
1021.59,1031.06,1017.77,1028.78,516.27867236
1028.86,1036.7,1025.89,1033.34,887.8200762
1032.77,1032.82,1025.3,1031.59,378.14098025
1031.39,1041.0,1029.21,1041.0,372.77293626
1041.0,1043.03,1036.04,1042.6,1314.56087671
1042.98,1055.74,1036.0,1040.58,1795.04264497
1040.59,1047.88,1036.57,1038.25,835.83484465
1038.23,1041.29,1032.62,1036.68,765.25155126
1035.63,1040.99,1029.37,1030.62,928.0359227
1032.55,1040.0,1030.01,1039.56,1148.62162098
1039.68,1041.3,1035.33,1038.82,770.97219113
1038.81,1041.34,1033.5,1040.03,441.34846043
1040.43,1040.79,1023.85,1026.31,1211.42135081
1024.82,1027.29,1004.36,1014.92,4262.61299521
1013.87,1024.32,1012.61,1022.37,1355.00679561
1022.98,1037.99,1020.63,1037.32,2303.59687031
1037.43,1050.93,1033.29,1049.18,3422.96416866
1049.99,1051.1,1039.04,1041.5,1203.61452361
1041.39,1066.09,1041.39,1054.11,2923.29355564
1054.1,1057.1,1046.01,1048.73,1030.40094757
1048.14,1054.66,1047.0,1054.37,1102.51881564
1054.67,1059.77,1039.99,1056.77,4407.03535483
1058.0,1085.42,1058.0,1077.22,5079.15790591
1077.21,1077.22,1066.0,1070.6,3887.70722283
1070.85,1071.41,1061.12,1067.25,1821.27058954
1067.76,1075.1,1062.98,1065.18,3390.59818759
1065.75,1072.08,1063.15,1066.52,1342.1870215
1066.15,1075.47,1063.8,1073.49,1515.7410557
1073.48,1085.86,1073.15,1084.02,1567.05992122
1083.96,1096.95,1083.96,1094.0,5408.68635465
1093.62,1093.62,1078.99,1082.43,3215.76234628
1082.42,1087.99,1075.0,1087.96,2543.73879177
1086.98,1094.3,1077.57,1077.58,2029.67377074
1077.57,1081.43,1063.08,1070.98,2180.19763128
1071.69,1072.74,1045.0,1064.0,3789.34865898
1065.76,1107.76,1065.05,1095.05,6330.79062116
1094.89,1110.0,1094.0,1099.8,6625.80459266
1099.58,1101.42,1082.04,1091.2,3231.52875881
1091.2,1093.66,1084.43,1092.01,1600.8882614
1092.0,1100.0,1088.64,1099.99,2008.46712871
1100.0,1105.0,1090.0,1102.23,2684.09196886
1102.0,1106.15,1093.01,1097.3,1909.03869699
1097.31,1100.98,1091.49,1094.02,846.64156767
1094.16,1105.0,1094.16,1095.94,1088.58028997
1096.06,1096.66,1076.11,1085.01,2841.29645572
1087.06,1098.0,1087.06,1095.02,2068.41944922
1095.27,1103.67,1094.91,1100.34,1662.50283534
1100.34,1124.88,1097.63,1122.31,4974.32051396
1122.31,1124.07,1108.0,1112.83,3491.87425734
1112.82,1118.91,1104.02,1110.94,2838.63297812
1110.93,1111.95,1087.0,1096.0,4003.50688083
1096.0,1101.94,1095.01,1097.39,1141.50605168
1097.02,1107.57,1091.17,1103.41,2045.88405954
1103.48,1113.32,1081.26,1092.48,3941.36624842
1093.18,1093.18,1064.26,1079.65,3763.92384451
1080.18,1085.22,1077.33,1081.31,1107.58143448
1081.36,1088.17,1073.59,1083.61,1170.45503876
1083.6,1087.97,1075.7,1084.1,710.87467495
1084.41,1085.97,1074.36,1075.23,942.57497465
1075.42,1075.67,1058.97,1069.14,1828.28344233
1069.5,1075.98,1063.33,1073.89,927.49186131
1074.01,1085.61,1073.72,1085.01,1007.55141859
1085.62,1088.19,1078.81,1083.35,1673.74219345
1082.27,1088.09,1076.53,1081.85,546.92322934
1081.7,1088.41,1079.57,1079.58,456.71617367
1081.4,1084.6,1076.02,1078.36,289.61817006
1077.6,1077.6,1068.44,1068.44,543.33549002
1069.26,1074.58,1065.09,1066.24,339.57531777
1066.98,1080.55,1066.98,1080.12,395.7008429
1079.88,1102.0,1076.75,1101.94,1609.01781286
1101.24,1139.95,1098.28,1128.46,7062.78245557
1130.0,1137.0,1111.89,1122.82,5410.91424655
1122.54,1128.71,1114.0,1121.87,2019.40519386
1122.45,1129.93,1116.44,1121.12,2249.86382824
1120.0,1123.18,1105.81,1111.48,3361.05057631
1111.61,1119.24,1093.23,1093.23,2470.91269377
1092.43,1106.01,1089.38,1105.56,1948.95381314
1105.8,1120.69,1102.93,1115.94,3782.58692671
1116.6,1121.58,1111.7,1114.12,962.57479435
1113.29,1113.34,1107.37,1110.1,735.95294663
1109.23,1119.71,1108.88,1117.65,637.82931029
1117.0,1127.48,1117.0,1123.62,1349.29377965
1123.51,1124.53,1115.11,1119.24,705.8349728
1118.01,1118.01,1105.99,1110.03,821.00701917
1109.43,1112.19,1095.69,1109.73,2055.10889091
1109.9,1126.0,1109.9,1113.73,1329.12733077
1113.73,1114.0,1098.52,1099.11,1441.50251333
1099.11,1107.37,1094.08,1104.41,909.79564702
1104.41,1112.26,1102.99,1111.86,647.23174543
1111.82,1113.32,1097.35,1104.07,1530.86715992
1104.07,1106.07,1092.73,1103.88,2688.37690587
1103.89,1108.36,1098.15,1106.4,451.03045616
1105.62,1107.84,1101.01,1101.7,480.25169444
1101.0,1111.41,1100.41,1110.0,388.072394
1110.0,1113.33,1107.01,1108.03,482.68622658
1108.01,1120.0,1106.98,1115.97,551.45558048
1115.98,1126.93,1115.98,1117.71,3249.01849602
1117.4,1152.65,1115.21,1151.87,6301.45956101
1151.9,1170.0,1141.45,1143.94,5214.55599312
1145.0,1155.05,1137.1,1150.02,1252.64345704
1148.6,1159.03,1144.04,1155.59,2043.412676
1156.47,1162.51,1143.22,1152.03,1333.76340871
1152.0,1155.17,1145.0,1148.77,1194.68567248
1148.63,1149.46,1132.84,1134.63,1717.74173693
1133.9,1146.76,1128.02,1146.76,1712.78408389
1146.76,1151.0,1134.91,1135.91,1557.07756914
1135.81,1140.53,1130.13,1135.23,1170.84712484
1135.0,1136.89,1125.44,1132.92,2668.25674215
1132.76,1140.65,1125.0,1138.08,2511.26022936
1137.8,1137.85,1128.59,1130.0,909.59660882
1130.0,1149.6,1130.0,1148.62,1105.51818095
1148.62,1150.0,1143.37,1146.04,744.21436087
1145.71,1145.73,1133.39,1136.67,718.28287227
1135.99,1145.55,1134.99,1145.19,947.15557219
1145.13,1149.97,1145.12,1148.0,550.20718054
1148.0,1157.0,1148.0,1155.38,910.28639074
1155.3,1155.3,1144.08,1146.97,1065.70905227
1147.71,1179.92,1147.71,1169.04,4817.98847359
1169.11,1191.55,1167.77,1178.74,8243.4875258
1178.85,1195.0,1176.04,1187.05,3151.54919822
1187.0,1191.72,1161.19,1175.37,3834.93475998
1175.51,1189.22,1173.14,1186.07,2590.11562625
1185.06,1197.0,1180.45,1196.03,1763.48703067
1196.0,1199.0,1188.99,1198.98,2533.3051918
1198.99,1210.0,1185.76,1194.98,10330.65280622
1194.98,1212.0,1194.98,1204.0,2378.99492414
1204.11,1204.97,1192.53,1193.03,3263.73847939
1192.41,1199.09,1188.0,1194.52,1459.14435625
1194.73,1200.0,1190.39,1195.23,2174.45108116
1194.97,1208.57,1192.16,1203.22,2590.29022501
1204.53,1207.93,1198.41,1203.71,2033.70275366
1203.12,1205.81,1183.73,1191.73,4032.21765964
1191.98,1193.41,1160.0,1162.99,4861.45849972
1163.41,1180.0,1111.01,1131.98,18538.02166834
1132.5,1177.92,1124.3,1172.04,7639.04360726
1171.54,1182.5,1160.01,1172.62,4260.764192
1171.81,1211.0,1171.39,1200.01,7651.29109857
1200.86,1203.95,1181.23,1192.0,4174.68452195
1193.2,1198.51,1175.65,1181.41,3125.7603685
1181.48,1191.49,1180.14,1187.35,1983.32154597
1187.71,1192.0,1181.0,1183.71,1808.37083182
1183.71,1194.27,1177.0,1193.54,1908.53936991
